剧名,年份,导演,编剧,主演,类型,制片国家/地区,集数,单集片长/分钟,豆瓣评分,评价人数/人
寻找前世之旅,2017,高林豹,Vivibear,付辛博 / 马可 / 周雨彤 / 那家威 / 聂子皓,剧情 / 奇幻,中国大陆,12,46,5.1,4306
最好的安排,2017,李小平,徐兵,颖儿 / 王耀庆 / 付辛博 / 赵子惠 / 童苡萱 / 戴江 / 王挺 / 唐曾,剧情 / 爱情,中国大陆,30,45,5.1,840
青春最好时,2017,周远舟,段添天 / 张婧 / 刘严峻,张雪迎 / 曾舜_ / 王博文 / 王亮 / 大左 / 王秋紫 / 大春子 / 王小利 / 何中华 / 胡彩虹 / 董立范 / 张莉 / 赵秀蕾 / 左其铂 / 宫政 / 吕小雨 / 李林蔚 / 王一博 / 吴静怡 / 丁一一 / 王艺禅 / 董昕_,剧情 / 爱情 / 悬疑,中国大陆,32,45,5,1076
楚乔传,2017,吴锦源,嘉纹 / 杨涛 / 陈岚 / 潇湘冬儿,赵丽颖 / 林更新 / 窦骁 / 李沁 / 王彦霖 / 邓伦 / 牛骏峰 / 金士杰 / 黄梦莹 / 田小洁 / 孙宁 / 曹曦月 / 王嵛 / 李若嘉 / 刘玉翠 / 蒋依依 / 黄海冰 / 胡兵 / 阮圣文,剧情 / 爱情 / 古装,中国大陆,67,45,5,70725
通天狄仁杰,2017,叶昭仪 / 李文龙,陈十三,任嘉伦 / 阚清子 / 焦俊艳 / 陈奕 / 缪俊杰 / 白冰 / 李进荣 / 王雨 / 郭晓东 / 曹馨月 / 傅颖 / 瞿澳晖 / 刘海蓝 / 张伦硕 / 李若嘉 / 关雪盈 / 郑晓宁 / 耿一正 / 曹磊 / 李茜 / 卢映 / 赵鑫菲 / 李槐龙 / 张家俊 / 张琪 / 黄海冰 / 师艳波 / 刘威 / 张奚萌 / 聂欢,剧情 / 古装,中国大陆,66,45,5,3245
梁山伯与祝英台新传,2017,陈鹏,毕延伟,晏紫东 / 陈梦希 / 林枫松 / 张怡畅 / 许升华 / 王维贤 / 李勤勤 / 苏茂 / 张洪杰 / 杜旭东 / 蒋梓乐 / 孔垂楠 / 卢卓,剧情 / 爱情 / 古装,中国大陆,29,35,5,499
我们的少年时代,2017,成志超 / 戴小哲,柴靖杰,王俊凯 / 王源 / 易烊千玺 / 薛之谦 / 张子枫 / 李小璐 / 唐禹哲 / 李菲儿 / 李世鹏 / 程砚秋 / 丁程鑫 / 宋祖儿 / 李俊浩,剧情 / 运动,中国大陆,40,55,5,14509
特化师,2017,潘镜丞,杨碧凤,谭松韵 / 张丹峰 / 应昊茗 / 代超 / 杨淼 / 张晗 / 阿楠 / 胡彩虹 / 王嵛 / 周梓言,剧情 / 爱情,中国大陆,42,45,5,729
御姐归来,2017,田少波,关仁山,安以轩 / 朱一龙 / 侯京健 / 吴佳尼 / 汤镇宗 / 吴艳 / 王钧赫 / 陈牧扬 / 李宜娟 / 郑晓宁 / 黄梦莹,剧情 / 爱情,中国大陆,36,45,4.9,2278
我与你的光年距离,2017,猫的树,杨楠 / 杨美味 / 玉朵朵,宋威龙 / 周雨彤 / 王以纶 / 高熙儿 / 王旭东 / 张南,爱情 / 奇幻,中国大陆,20,25,4.9,4654
无法拥抱的你,2017,猫的树,,张予曦 / 邢昭林 / 戴景耀 / 徐开骋,剧情 / 爱情 / 奇幻,中国大陆,32,25,4.9,3660
凡人的品格,2017,徐宗政,秦鹏 / 王佩晨,林永健 / 蒋欣 / 童蕾 / 梁振伦 / 白志迪 / 张宇菲 / 阿楠 / 张戈 / 解至腾 / 杜宁林,剧情 / 爱情,中国大陆,45,45,4.9,1972
我的老爸是奇葩,2017,刘飚,张挺 / 王越,韩童生 / 陶慧敏 / 经超 / 张佳宁 / 王子 / 张晨光,喜剧 / 家庭,中国大陆,48,45,4.8,251
龙珠传奇之无间道,2017,朱少杰 / 周远舟,李亚玲,杨紫 / 秦俊杰 / 舒畅 / 茅子俊 / 斯琴高娃 / 韩承羽 / 刘学义 / 孙蔚 / 何中华 / 卢星宇 / 黄海冰 / 张维娜 / 黄天崎 / 闵春晓 / 刘立伟 / 王艺禅 / 刘锡明 / 程诚 / 谢宁,剧情 / 爱情 / 古装,中国大陆,90,35,4.8,11301
幸福有配方,2017,董力 / 沈雷,韩素真,归亚蕾 / 董勇 / 黄觉 / 刘一含 / 舒砚 / 赵子琪 / 刘文治  / 许还山 / 李昶,剧情 / 家庭,中国大陆,42,45,4.8,662
热血勇士,2017,刘涛,赵颖,林雨申 / 马德钟 / 张璇 / 康华 / 秦伯坤,战争,中国大陆,45,45,4.8,280
因为遇见你,2017,周晓鹏,许璐艳 / 储敏,孙怡 / 邓伦 / 吴优 / 代超 / 刘敏涛 / 潘仪君 / 吴竞 / 罗刚 / 李智楠 / 郭虹,剧情 / 爱情,中国大陆,56,45,4.8,9593
暖爱,2017,余丁,千米,翟天临 / 江铠同 / 白卉子 / 付嘉 / 王文绮,剧情 / 爱情,中国大陆,34,45,4.8,531
