剧名,年份,导演,编剧,主演,类型,制片国家/地区,集数,单集片长/分钟,豆瓣评分,评价人数/人
花木兰,1998,赖水清 / 李惠民,关展博 / 陈丽华,袁咏仪 / 赵文卓 / 孙兴 / 钮承泽 / 郑佩佩 / 李立群 / 李志希 / 关礼杰 / 岳跃利 / 刘孜 / 张铁林 / 陈宝国 / 焦恩俊 / 葛蕾 / 崔红红 / 王茜 / 董晓燕 / 金书贵 / 刘家 / 叮当 / 阴爱国 / 刘勇 / 黑子 / 杜连孝 / 屈中恒 / 杜鹏 / 乌兰齐齐格 / 李振起 / 晋松 / 贺镪 / 蓝英君 / 王芙娟,动作 / 武侠,中国大陆 / 台湾,48,45,7.4,17877
苍天有泪,1998,李平,琼瑶,焦恩俊 / 朱茵 / 蒋勤勤 / 庹宗华 / 陈昭荣 / 陈明真 / 岳跃利 / 邓婕 / 韩振华,剧情 / 爱情,中国大陆 / 台湾,24,43,7.4,9071
上海之恋,1998,张建国 / 曾丽珍 / 朱锐斌,,宁静 / 丁子峻 / 蒙嘉慧 / 梁家仁,爱情,中国大陆 / 香港,20,,7.3,1462
战国红颜,1998,张健伟,李晓明,张敏 / 童安格 / 唐国强 / 刘瑞琪 / 柯蓝,爱情 / 历史,中国大陆 / 台湾,40,40,6.5,355
神雕侠侣,1998,李惠民 / 赖水清,关展博 / 陈丽华,任贤齐 / 吴倩莲 / 孙兴 / 季芹 / 李立群 / 夏文汐 / 蔡君茹 / 高捷 / 陈红 / 岳跃利 / 涂松岩,武侠 / 古装,中国大陆 / 台湾,47,45,5,6549
穆桂英之大破天门阵,1998,杨绍鸿,梁天,焦恩俊 / 陈秀雯 / 林韦辰 / 文颂娴 / 曹翠芬 / 龙贯天 / 宫雪花 / 杨泽霖 / 鲍起静 / 马宗德 / 谭炳文 / 宗扬 / 曾玮明 / 黄瑷瑶 / 陶安仁 / 谭少瑛 / 陈丽云 / 饶芷昀 / 吴浣仪 / 朱燕珍 / 苏昶 / 司马华龙 / 郑恕峰 / 甘山 / 关键 / 冼灏英 / 卢惠光 / 郭金 / 冯国 / 梁锦荣 / 吴霆,剧情,香港 / 台湾,32,45,7.9,1432
财神爷,1998,林雪兰,王启基,黄文永 / 陈秀丽 / 丁岚,,中国大陆 / 香港,20,45,7.3,42
儿女英雄传,1999,蒋家俊,,元彪 / 贾静雯 / 曹颖 / 马伊_ / 黄奕,剧情 / 动作 / 爱情 / 历史 / 武侠,中国大陆 / 香港,40,,7.7,879
还珠格格第二部,1999,李平 / 孙树培,琼瑶,赵薇 / 苏有朋 / 张铁林 / 周杰 / 林心如 / 范冰冰 / 刘丹 / 牟凤彬 / 王艳 / 赵敏芬 / 戴春荣 / 赵丽娟 / 李明启 / 朱宏嘉 / 陆诗雨 / 陈莹 / 薛严 / 刘伟 / 鱼梦洁 / 李冰俏,剧情 / 喜剧 / 动作 / 爱情 / 古装,中国大陆 / 台湾,48,48,7.6,58509
风云密支那,1999,招振强,张晓亚,陆剑民 / 黎彩妮 / 林熙越,剧情,中国大陆 / 香港,23,40,7.6,59
