剧名,年份,导演,编剧,主演,类型,制片国家/地区,集数,单集片长/分钟,豆瓣评分,评价人数/人
海魂,2011,包福明,张守君 / 菡子,于波 / 朱杰 / 林江国 / 吕夏,剧情,中国大陆,33,,6.5,51
前妻回家,前妻回家,姚远,刘跃军,张嘉译 / 陈瑾,,中国大陆,20,,6.3,144
热血尖兵,2017,熊早,熊早,王紫逸 / 张宁江 / 宣言 / 洪涛 / 马艺家 / 高志强 / 肖剑 / 王放 / 王笛 / 方慧 / 何音 / 江佳奇 / 彭澎 / 马群博 / 王旭峰 / 李波 / 刘牧 / 曹卫宇,剧情,中国大陆,28,45,6.3,858
刘海砍樵,2014,李惠民,,乔振宇 / 宋佳玲 / 徐麒雯 / TAE / 张姮儿 / 刘涛,爱情 / 古装,中国大陆,30,,6.3,372
川味,2015,,,,,中国大陆,15,,6.3,149
心不再遥远,2002,王丽涵 / 博弘,王明娟,王琳 / 丹江 / 李劼,,中国大陆,21,,6.3,101
战火四千金,2010,史晨风,雷婷 / 金哥,曾泳醍 / 刘鉴 / 袁志博 / 贺丹丹 / 朱刚日尧 / 李若嘉,剧情 / 悬疑 / 历史 / 战争,中国大陆,31,40,6.3,45
家有爹娘2,2008,张绍林,娟子,朱琳 / 张炬 / 严敏求 / 张智尧,,中国大陆,24,,6.3,46
名捕震关东,2002,王响伟 / 崔凤娟 / 韩东,华谊剧本工作室 / 温瑞安,吴奇隆 / 任泉 / 范冰冰 / 左小青 / 张铁林 / 卢星宇 / 王九胜 / 董志华 / 陈继铭 / 韩东 / 戴春荣 / 陈莹 / 任袁媛,奇幻 / 武侠 / 古装,中国大陆,35,45,6.2,2664
朝内81号,2015,韩琰,,文谦 / 许敏 / 银雪 / 李菁,,中国大陆,30,,6.2,118
慈禧西行,1995,张子恩,,邓婕 / 张国立 / 陈楚童,剧情 / 古装,中国大陆,40,,6.2,100
我和我的他们,2014,陶玲玲,杜诗筠,陈小艺 / 许亚军 / 万妮恩 / 张大静 / 杨子骅 / 戚九洲 / 刘红雨,剧情 / 爱情,中国大陆,36,,6.2,140
理发师,2010,潘文杰,凡一平 / 章明,李晨 / 王丽坤 / 王绘春 / 涂松岩 / 廖学秋 / 方子哥 / 舒耀瑄 / 林栋甫 / 张若昀,剧情 / 爱情,中国大陆,30,47,6.2,134
笑笑茶楼,2005,乔杰,王金力,闫学晶 / 潘长江 / 李静,喜剧,中国大陆,61,45,6.2,146
壬辰倭乱,2016,임세형,김한솔 / 김정애 / 고은희,崔秀钟 / 金应洙,剧情 / 历史 / 战争,韩国 / 中国大陆,5,50,6.2,183
熊出没之秋日团团转,2016,丁亮,江波 / 徐芸,张伟 / 谭笑 / 张秉君,,中国大陆,52,13,6.2,168
我家不打烊,2006,张自强,刘书桦 / 陈成东,陈小春 / 袁咏仪 / 秦岚 / 胡兵 / 刘雪华,,中国大陆,26,,6.2,128
爱的保镖,2014,李妮,唐宁,李幼斌 / 李菁菁 / 何明翰 / 齐溪 / 石燕京 / 李宜娟 / 李宏伟 / 刘红雨 / 陈思斯 / 罗立群 / 于小慧 / 屈菁菁 / 邬立朋,剧情 / 动作 / 爱情,中国大陆,40,,6.2,103
春桃的战争,2009,张汉杰,聂欣,贾乃亮 / 马雅舒 / 张恒 / 曹卫宇 / 林栋甫 / 赵龙豪 / 陈大伟 / 杨斯 / 王奎荣 / 吴冕 / 范雨林 / 沈丹萍 / 李颖,剧情,中国大陆,40,,6.2,174
乌托邦办公室,2011,高先明,乔安 / 欧阳珊珊 / 郭璐璐,张孝全 / 邹涵虹 / 郑恺 / 陈予新 / 王传君 / 是元介,喜剧 / 科幻,中国大陆,12,,6.2,189
虎刺红,2013,雷献禾,张晓亚,于震 / 于明加 / 徐梵溪 / 王翊丹 / 杜源 / 刁雪,剧情,中国大陆,45,40,6.2,193
西厢记,2013,路奇,陈宝华,周奇奇 / 张晓晨 / 孙坚 / 邓家佳 / 戚迹 / 宋佳 / 陈保元 / 王姬 / 王绘春 / 马晓伟,剧情 / 爱情 / 古装,中国大陆,30,40,6.2,222
别和陌生人跳舞,2006,柳国庆,柳国庆,温峥嵘 / 何政军 / 姚刚 / 李婷,,中国大陆,24,,6.2,198
仁者无敌,2007,陈健,石小克,李幼斌 / 张光北 / 刘立淇,,中国大陆,28,,6.2,232
桃花扇传奇,2006,鲁晓威,王琛 / 王海洲,曹颖 / 周杰 / 薛佳凝 / 张亚坤 / 郭晓东 / 席与立 / 赵敏捷 / 李欣凌 / 修庆 / 赵子靓,剧情 / 古装,中国大陆,29,,6.2,270
幸福计划,2014,千村利光,柏原崇,柏原崇 / 林初寒,爱情,中国大陆 / 日本,3,17~26,6.2,356
敌特在行动,2009,谷锦云,,刘小锋 / 汪芫 / 王砚辉 / 张琳,,中国大陆,28,,6.2,113
一起长大,2016,邵兵,汤迪 / 邢立鹏 / 张军,邵兵 / 王子文 / 杨玏 / 李立群 / 王姬 / 李元太 / 高丽雯 / 张培 / 张光北 / 陈炜 / 杨立新 / 王海地 / 刘敏涛 / 王希维,剧情 / 家庭,中国大陆,32,45,6.2,494
飘帅,2014,侯明杰,石小克,傅程鹏 / 侯梦莎 / 夏侯镔 / 毛林林,剧情,中国大陆,40,,6.2,90
北上广依然相信爱情,2016,李骏 / 牟晓杰,张建祺,朱亚文 / 陈妍希 / 张铎 / 曾泳醍 / 王新 / 李依玲 / 马灿灿 / 黄超 / 丁志城,剧情 / 爱情,中国大陆,44,45,6.2,7344
兵出潼关,2014,史晨风,史晨风,谷智鑫 / 刘晓虎 / 杨亚 / 刘佳,战争,中国大陆,35,,6.2,63
谁懂女儿心,2009,启俊,王凤来仪,徐熙颜 / 霍政谚 / 俞小凡 / 夏志卿 / 吴晴 / 孙岚 / 庹宗华 / 徐贵樱,,中国大陆,40,,6.2,114
说书人,2013,楼健,杨婕,小沈阳 / 吴健 / 赵本山 / 李立群,剧情 / 传记,中国大陆,35,,6.2,217
裸婚之后,2014,程樯,王群 / 王宁,王阳 / 张佳宁 / 王一楠 / 佟悦 / 万思维 / 李乃文 / 倪大红 / 夏力薪 / 杜源 / 原雨,爱情 / 家庭,中国大陆,38,,6.2,251
女人的战争,2008,沈悦,胡惠英,胡静 / 潘虹 / 王新军,剧情,中国大陆,31,,6.2,183
生命有明天,2007,翰韬 / 俊文 / 良成,,吴镇宇 / 宣萱 / 吕颂贤 / 霍思燕,剧情,中国大陆,34,,6.2,159
龙行天下,2010,王重光,东函,王灿 / 曾安琪 / 周明增 / 吴浩升,剧情 / 喜剧 / 历史,中国大陆,39,40,6.2,397
林海雪原,2017,金姝慧,金姝慧,张睿 / 李光洁 / 倪大红 / 金星 / 刘婧 / 孙大川 / 韩朔 / 赵子惠 / 张永健 / 娟子 / 高雅轩 / 那志东 / 蒋依依 / 苏翊鸣 / 丁勇岱 / 秦卫东 / 程雍 / 曹骏 / 王奎荣 / 解子腾 / 刘劲 / 毕彦君 / 王建新 / 黄觉 / 董彦麟 / 张晚意 / 杨新鸣 / 金钊 / 张译文 / 娄宇健 / 王志刚 / 高名扬 / 王大奇 / 王茜 / 沙景昌,剧情,中国大陆,64,45,6.2,4092
家有儿女4,2007,林丛,,宋丹丹 / 高亚麟 / 张一山 / 尤浩然 / 丹琳,喜剧,中国大陆,67,30,6.2,3783
赵赶驴电梯奇遇记,2009,,,谢丹 / 董琦 / 任莹露 / 张小默,,中国大陆,20,,6.2,34
双核时代,2012,李骏,郁梦 / 宋阳明 / 袁慧慧,朱雨辰 / 隋俊波 / 马苏 / 潘泰名 / 李凤绪 / 于慧 / 曾红生 / 聂鑫 / 张衣 / 高晓菲 / 孙歌璐,爱情 / 家庭,中国大陆,30,,6.2,447
为你燃烧,2004,蒋家骏,安雯,马景涛 / 陈法蓉 / 颜丹晨,爱情 / 家庭,中国大陆,19,40,6.2,36
妈妈的罗曼史,2011,朱正,,李琳 / 吴京安 / 阿斯茹 / 孙大川 / 郭达,家庭,中国大陆,35,45,6.2,41
赖汉的幸福指数,2012,张培根,,陈创 / 姜超 / 陶昕然 / 尹航 / 杜宁林,剧情,中国大陆,32,,6.2,63
完美结局,2008,方刚亮,,罗嘉良 / 苏岩 / 白冰,,中国大陆,20,,6.2,66
东西奇遇结良缘,2001,赖水清 / 袁英明,,王亚楠 / 曾黎 / 徐露,剧情,中国大陆,45,,6.2,53
户口,2009,傅东育,,刘欣 / 李梦男 / 邵峰,剧情,中国大陆,25,,6.2,74
金战,2013,刘心刚,宋艾,周显欣 / 黄觉 / 张博 / 潘之琳 / 黄勐 / 郭凯敏 / 林栋甫 / 张喜前 / 李媛,剧情 / 战争,中国大陆,36,,6.2,71
猫舌怕烫烫,2015,林晶,林晶 / 夏决心,戚静怡,剧情 / 短片 / 奇幻,中国大陆,6,12,6.2,69
