剧名,年份,导演,编剧,主演,类型,制片国家/地区,集数,单集片长/分钟,豆瓣评分,评价人数/人
我可能不会爱你,2011,瞿友宁,徐誉庭,林依晨 / 陈柏霖 / 王阳明 / 陈匡怡 / 陆明君 / 黄志玮 / 孟耿如 / 林美秀 / 罗北安 / 应蔚民 / 殷琦 / 金士杰 / 李维维 / 余函弥 Bonnie / 许豪恩 / 曾之乔 / 马囡 / 谢宇威 / 余昱纬 / 余怡萱 / 刘引商 / 张萍萍 / 周丹薇 / 马世莉 / 安唯绫 / 丫子 / 蔡昌宪 / 曾威豪 / 刘以豪 / 马念先 / 林宗仁 / 陈文彬 / 刘晓忆 / 方炯镔 / 刘子绚 / 万芳 / 任淇 / 富富 / 徐宛铃 / 林志儒 / 瞿友宁 / 林政逸 / 陈奕达 / 季芮彤 / 篠崎翎榕 / 朱丽君 / 游家玮 / 杨志龙 / 荣忠豪 / 杜俊伟 / 丸子 / 单承矩 / 张家云 / 王恩德 / 江明娟 / 柯逸华 / 黄熊金盆 / 陈罗蜜欧 / 沈炜竣 / 宜萱老师 / 邱彦翔 / 励政达 / 詹乃蓁,爱情,台湾,13,90分钟(首播版) / 60分钟(海外版),8.9,144795
江湖奇侠传,1997,鞠觉亮 / 陈鸿烈,丁善玺,郑少秋 / 梁琤 / 陈鸿烈,历史 / 武侠 / 古装,台湾,59,45,8.9,524
风中绯樱－雾社事件,2003,万仁,邱若龙,高慧君 / 马志翔 / 蘇清喜,,台湾,20,50,8.8,40
霹雳图腾,2004,黄文择,,黄文择,,台湾,20,,8.8,133
挥剑问情,1986,詹龙,黄大容 / 温丽芳,马景涛 / 龙天翔 / 吕盈莹,动作 / 武侠 / 古装,台湾,20,,8.8,50
圣稜的星光,2005,郑德华 / 王金贵 / 吕蒔媛 / 辛建宗,邓沛雯 / 李忠河 / 刘宇均 / 李依洁,杨祐宁 / 李康宜 / 张大镛,剧情 / 爱情 / 家庭,台湾,17,,8.8,131
国家的远见,2008,郭君慧,,,,台湾,8,,8.8,122
霹雳劫,1990,黄文择,,黄文择口白,,台湾,30,70,8.8,98
霹雳眼,1993,黄文择,,黄文择口白,戏曲,台湾,20,,8.8,193
孤恋花,2005,曹瑞原,白先勇,袁咏仪 / 李心洁 / 萧淑慎 / 庹宗华 / 高捷 / 邱秀敏 / 方馨 / 虞佩仪 / 游安顺 / 陈国钧 / 屈中恒 / 王伟华 / 林鸿翔 / 王绢 / 魏宗万 / 丁也恬 / 太保 / 谢琼煖 / 范瑞君 / 丁强,剧情 / 爱情 / 同性,台湾,16,45,8.8,414
孽子,2003,曹瑞原,白先勇 / 陈世杰,范植伟 / 张孝全 / 杨祐宁 / 金勤 / 吴怀中 / 柯俊雄 / 柯淑勤 / 丁强 / 王玨 / 庹宗华 / 马志翔 / 沈孟生 / 陈柏霖 / 张捷 / 金士杰 / 萧艾 / 杨丽音 / 勾峰 / 李璇 / 田丰 / 林义雄 / 铁孟秋 / 王明台 / 夏靖庭  / 李昆 / 王孙 / 鸿鸿,剧情 / 同性,台湾,20,56,8.8,8462
麻醉风暴2,2017,萧力修 / 洪伯豪 / 林志儒,萧力修,黄健玮 / 许玮甯 / 吴慷仁 / 李国毅 / 孟耿如 / 许时豪 / 班铁翔 / 蓝正龙 / 刘品言 / 庄凯勋 / 梁正群 / 黄仲昆 / 李璇,剧情,台湾,13,45,8.8,1706
恶作剧之吻,2005,瞿友宁,多田薰,郑元畅 / 林依晨 / 赵咏华 / 唐从圣 / 汪东城 / 许玮甯 / 张永正,喜剧 / 爱情,台湾,20,45,8.8,70545
金光御九界之墨邪录,2015,黄立纲,三弦 / 季电 / 傲絕,,奇幻 / 武侠 / 古装,台湾,22,79,8.7,221
霹雳皇龙纪,2006,黄文择,,黄文择口白,,台湾,50,,8.7,371
赴宴,2005,王小棣,王小棣 / 黄黎明 / 徐誉庭 / 温郁芳,周幼婷 / 蓝正龙 / 张国栋 / 洪诚阳 / 马志翔 / 窦智孔 / 王逸诗 / 张美瑶 / 尤学廷 / 张钧甯 / 安原良 / 朱陆豪,剧情 / 爱情 / 家庭 / 历史,台湾,25,,8.7,64
小孩大人,2012,黄志翔,黄志翔,李威 / 李康宜 / 黄腾浩 / 姚采颖 / 潘柏希 / 姚以缇,,台湾,8,60+,8.7,188
曾经,1999,徐小明,爱亚 / 谢启明 / 刘玫 / 何昕明,吕德明 / 李欣 / 倪淑君 / 萧淑慎 / 林函洁 / 林鸿翔 / 彭增豪 / 邵昕 / 张翔 / 陈彦兆 / 彭美霖 / 周淑英 / 黄仲昆 / 林郁涵 / 钮承泽 / 寇世勋 / 张世 / 陈柏渝 / 彭于缜 / 杨慧祯 / 张艺龄 / 赵璐嘉 / 吕威池 / 王少伟 / 刘方英 / 连静雯 / 丁也恬 / 郎祖筠 / 潘慧如 / 谢佳勋 / 韩旗 / 萧郁芸,,台湾,20,,8.7,170
红尘有爱,1990,陈坤厚 / 李动男,,何家劲 / 徐乃麟 / 徐贵樱 / 刘瑞琪,,台湾,40,,8.6,62
