剧名,年份,导演,编剧,主演,类型,制片国家/地区,集数,单集片长/分钟,豆瓣评分,评价人数/人
大宅门,2001,郭宝昌,郭宝昌,斯琴高娃 / 刘佩琦 / 陈宝国 / 蒋雯丽 / 张丰毅 / 贾妮 / 张艺谋 / 何赛飞 / 姜文 / 李雪健 / 茹萍 / 李洪涛 / 毕彦君 / 雷恪生 / 艾丽娅 / 张定涵 / 雷娟 / 谢兰,剧情 / 爱情 / 家庭 / 传记 / 历史,中国大陆,40,45,9.3,65727
毛骗,2011,李洪绸 / 邢冬冬 / 于哲,李洪绸,杨羽 / 安宁 / 邢冬冬 / 黎伟 / 邵庄 / 耿晓辉 / 于哲 / 汪小壹,悬疑 / 犯罪,中国大陆,14,72,9.3,14811
三国演义,1994,王扶林 / 张绍林 / 蔡晓晴 / 孙光明 / 张中一 / 沈好放,罗贯中 / 杜家福 / 朱晓平 / 刘树生 / 叶式生 / 周锴 / 李一波,唐国强 / 孙彦军 / 鲍国安 / 李靖飞 / 陆树铭 / 洪宇宙 / 吴晓东,剧情 / 历史 / 战争,中国大陆,84,45,9.3,49998
外乡人,2009,管虎,李晓兵 / 余飞,丁嘉丽 / 郑则仕 / 黄渤 / 马少骅 / 陶慧 / 李兆林 / 王迅,剧情 / 家庭,中国大陆,43,45,9.3,4076
山城棒棒军,1997,束一德,丁松,庞祖云 / 赵亮 / 王群英 / 仇小豹 / 张新 / 谢先丽,剧情,中国大陆,20,50,9.3,3248
无悔追踪,1995,尹力,张策 / 史健全,王志文 / 刘佩琦 / 岳秀清 / 何冰 / 孔琳 / 吴军 / 李冰冰 / 郝戎 / 李丁 / 赵丽娟 / 李连义 / 张少华 / 金淑媛,剧情 / 悬疑 / 家庭 / 历史,中国大陆,20,47,9.3,2312
小青天司徒公,2007,,,,,中国大陆,26,25,9.3,348
上海沧桑,1999,黄蜀芹,黄亚洲,江珊 / 刘子枫 / 巍子,剧情 / 战争,中国大陆,50,,9.2,884
糊涂小天使,2007,熊早,王倦 / 王焰珍 / 熊早 / 戴嵘、张寒冰、范劲、林密、,刘晓洁 / 杨成 / 范雷,喜剧,中国大陆,100,,9.2,415
幸福耙耳朵,幸福耙耳朵,崔磊,树根,王曾郅 / 媛凤 / 田长青 / 巴登,,中国大陆,10,,9.2,247
亲亲我，老师,1990,杨韬,诸葛怡,苗苗 / 陈晨 / 罗犀子 / 郝春雪 / 宁文彤 / 杨子纯,剧情 / 儿童,中国大陆,8,28,9.2,720
我们的父亲,2005,毛卫宁,张仁胜,刘子枫 / 尤勇 / 杨若兮 / 史兰芽 / 刘禹 / 方涛 / 范燕,剧情 / 家庭,中国大陆,24,,9.2,107
陈景润,2010,丁祝明 / 刘己,李岩希 / 冯俐,刘己 / 田玲,剧情 / 传记,中国大陆,14,45,9.2,108
小楼风景,1994,沈好放,高满堂,朱旭 / 王馥荔 / 张光北,剧情,中国大陆,26,50,9.2,83
快乐编剧班,2000,王超,昃文江,粟峥 / 林惠 / 宋晓蓉 / 林悦章 / 张欣 / 张云 / 王倩 / 盖晓星 / 王纪勇 / 昃文江 / 杨海宇,剧情,中国大陆,20,,9.2,948
左伟和杜叶的婚姻生活,2007,曹保平,曹保平 / 罗阿波,刘蓓 / 吴刚 / 王沫溪 / 楚键,剧情,中国大陆,20,,9.2,289
女驸马,1987,,安徽第二届戏曲汇演安庆代表团等,韩再芬 / 熊辰龙,,中国大陆,4,,9.2,186
乘着歌声的翅膀,2002,段果平,黄辉 / 白桦,常蓝天 / 张润宇,儿童,中国大陆,20,,9.2,124
希望不流泪,1996,陈福黔,,康晓熙 / 叶爽 / 孟霞 / 王乃恩,,中国大陆,30,,9.2,69
爬坡上坎,1997,,,赵亮 / 庞祖云 / 罗德元 / 王群英 / 陈慧娟,,中国大陆,20,,9.2,63
长天烽火,1994,冯小宁,冯小宁,濮存昕 / 黄磊 / 孙淳 / 张凯丽 / 陈小艺 / 田海蓉 / 肖雄 / 李媛媛 / 刘威 / 胡亚捷 / 何政军,历史 / 战争,中国大陆,15,,9.2,196
奇人安世敏,2000,张乙,阳晓 王逸虹,吴文 / 周莉 / 王海地,喜剧 / 古装,中国大陆,20,45,9.2,176
Gon的旱獭,2017,山药Gon,,,,中国大陆,20,,9.2,317
红男绿女,2004,老许,老许,张柏鑫 / 袁媛 / 张楠 / 周全 / 罗旭文,喜剧 / 短片,中国大陆,未完,,9.2,782
我爱我家,1993,英达,梁左 / 英壮 / 梁欢 / 臧里,文兴宇 / 宋丹丹 / 杨立新 / 梁天 / 关凌 / 赵明明 / 沈畅,喜剧 / 家庭,中国大陆,120,20-30,9.2,49249
禽兽超人,2015,於水,於水,於水 / 耿琪,剧情,中国大陆,12,3,9.2,471
大秦帝国之裂变,2009,黄健中 / 延艺,孙皓晖,侯勇 / 王志飞 / 卢勇 / 吕中 / 高圆圆 / 李立群 / 许还山 / 齐芳 / 尤勇 / 杜雨露 / 王辉 / 刘乃艺 / 孙飞虎 / 卢映 / 毛乐 / 苑冉 / 仇永力 / 于洋 / 午马 / 郭常辉 / 季晨 / 侯祥玲 / 刘牧 / 陈之辉 / 董祁明 / 卢超凡 / 姜华 / 钱卫东 / 赵冬柏 / 周玉华 / 王迎奇 / 李世德 / 金明 / 冯鹏飞 / 任伟 / 焦长道 / 江化霖 / 李卓霖 / 任希鸿 / 刘冰峰 / 李海鸽 / 冯峥 / 夏露 / 徐玉庭 / 孙蛟龙 / 赵伊,历史 / 战争,中国大陆,51,45,9.2,23077
战长沙,2014,孔笙 / 张开宙,吴桐 / 曾璐,霍建华 / 杨紫 / 左小青 / 任程伟 / 牛骏峰 / 高鑫 / 瑛子 / 杨新鸣 / 穆丽燕 / 王彩平 / 吕夏 / 刘真君 / 李泽锋 / 靳东 / 张墨锡 / 赵志君,剧情 / 历史,中国大陆,32,45,9.2,89759
