剧名,年份,导演,编剧,主演,类型,制片国家/地区,集数,单集片长/分钟,豆瓣评分,评价人数/人
神兽麻将馆,2017,石桀鋭,王昆鹏 / 邢嘉仪 / 周子君（王鹤鸣编剧工作室）,李晨浩 / 白柳汐 / 苑乔 / 陶灏景 / 陈帅 / 胡锰,喜剧 / 爱情 / 奇幻,中国大陆,16,25,暂无评分,暂无评分
黑色名单,2011,余丁,李云良 / 洋子,黄觉 / 颜丹晨 / 王政钧 / 姚安濂 / 张铁林 / 万弘杰 / 杨烁 / 张佳宁 / 李雨泽 / 蒋婧 / 万美汐 / 许圣楠,剧情 / 动作 / 悬疑,中国大陆,35,45,6.0,73
我们一家人,2013,英达,东东枪,梁天 / 王茜 / 李绪良 / 李增瑞 / 裘英俊 / 杜沁怡 / 颜冠英 / 李汉南 / 张国丰 / 英豪,剧情 / 喜剧,中国大陆,120,,6.0,53
生死兄弟情,2015,萧锋,黄剑东,郭晓东 / 车永莉 / 王斑 / 张帆,剧情,中国大陆,42,45,5.9,54
热血篮球,2015,杨羽,刘爱银 / 杨羽,牛超 / 吴宇伦 / 陈学宇 / 项裕 / 邢正 / 安宁 / 汪小壹,喜剧 / 爱情 / 运动,中国大陆,10,20,5.9,104
穿越烽火线,2013,钱晓鸿,卞智弘 / 吴欢静,丁海峰 / 沈傲君 / 倪虹洁 / 赵珈琪 / 任帅 / 范志博 / 田小洁 / 石小满 / 张明健 / 果靖霖 / 宋晓英 / 徐黄丽 / 赵泽文 / 董波 / 韩雨烨 / 胡天阳 / 李易辰 / 刘长纯 / 马境 / 杨圣文,剧情 / 儿童 / 战争,中国大陆,38,,5.9,83
宝贝战争,2012,程樯,瑛子,姚芊羽 / 涂松岩 / 谢君豪 / 张凯丽 / 寇振海 / 岳跃利 / 李道君 / 强宇,家庭,中国大陆,32,,5.9,77
九死一生,2013,王晓明,田雁宁,寇世勋 / 斓曦 / 杨奇鸣 / 王翔弘 / 毛林林 / 张铎 / 刘冠军 / 宗晓军,剧情 / 悬疑,中国大陆,36,,5.9,53
我是太阳,2008,安建,都梁,刘佩琦 / 王雅捷 / 李幼斌 / 杜源 / 张嘉译 / 于晓光 / 刘立伟 / 吕夏 / 李佳璇 / 蒋一铭 / 李卓 / 杨俊勇 / 徐僧 / 杨梅 / 王全有 / 车晓彤 / 赵中伟 / 任明生 / 徐新宇 / 许敏 / 张文明 / 刘洁,剧情,中国大陆,42,45,5.9,67
月供,2015,管虎,马德林 / 祝和平,郭京飞 / 张芷溪 / 陈赫 / 黄一晗 / 马丹旎 / 高宝宝 / 谢园 / 冯鹏 / 李洪涛 / 王鸥 / 柏青,剧情 / 爱情,中国大陆,36,,5.9,233
