剧名,年份,导演,编剧,主演,类型,制片国家/地区,集数,单集片长/分钟,豆瓣评分,评价人数/人
兵团岁月,2010,李文岐,,张译 / 沈傲君 / 王媛可,,中国大陆,28,,7.1,160
蔚蓝50米,2017,黄元达,王诗 / 杨帆,赵志伟 / 徐洋 / 何昕霖 / 张瑞涵 / 李昕哲 / 孙伟豪 / 杨天琪 / 顾权 / 张艺驰 / 优优 / 王菁 / 冯晓峰 / 柳扬 / 李连正,剧情 / 运动,中国大陆,32,30,7.1,352
花样江湖,2015,高飞,高飞,王浩 / 赵泳鑫 / 檀健次 / 池约翰 / 肖顺尧 / 沈梦辰 / 大张伟,喜剧 / 武侠,中国大陆,30,10,7.1,65
八旗子弟,1987,朱传光,,潘长江 / 莫岐 / 韩善续 / 李丁,,中国大陆,20,,7.1,66
零炮楼,2012,何群,张栩 / 张者,邢佳栋 / 于震 / 铁伟光 / 罗秀春 / 李梅可 / 郭金杰 / 孙征宇,历史 / 战争,中国大陆,30,,7.1,67
小麦进城,2012,姚远,倪学礼,王茜华 / 罗刚 / 王丽云 / 丁洋 / 常波 / 赵毅,剧情 / 喜剧,中国大陆,34,45,7.1,680
独家披露,2014,高希希,海岩 / 金凌云,林心如 / 周一围 / 李依晓 / 于滨 / 霍青 / 寇振海 / 朱琳 / 李建义 / 王慎吾,剧情 / 爱情,中国大陆,31,,7.1,131
刘伯承元帅,2012,张玉中,傅建文 / 尹东鸿,刘之冰 / 王嘉 / 王晖 / 梁春书 / 刘沙 / 张京生 / 史鑫 / 姚居德 / 任明生 / 脱一然 / 张建祥 / 刘鹏 / 李新华 / 王思 / 杨轶然 / 李华 / 赵达 / 兰岚 / 丁宁 / 张小斐 / 尚国伟,传记,中国大陆,30,,7.1,71
红蝎子,2007,王连平,,陈艺戈 / 鲁昕 / 白灵 / 徐熙颜 / 佟丽娅 / 曲栅栅,剧情 / 犯罪,中国大陆,20,,7.0,96
鹰巢之预备警官,2012,潘小扬 / 梁国冠,伍旸 / 刘凌玫 / 戴宝军 / 曹国胜 / 武和平,王媛可 / 于晓光 / 潘敏世 / 高旭阳 / 张舒羽 / 陈曦 / 郑岚侨 / 马湘宜 / 刘妙 / 陈逸恒,剧情 / 动作 / 犯罪,中国大陆,32,,7.0,79
紫荆勋章,2000,潘小扬,,杨恭如 / 何政军 / 曾江 / 姚橹 / 王思懿,剧情 / 爱情,中国大陆 / 香港,20,45,7.0,63
双凤奇案,1998,陈家林,齐铁雄 / 宋振国,曹颖 / 盖丽丽 / 田少军 / 鲍国安 / 杜敏赫 / 陈家林,,中国大陆,22,42,7.0,78
隐秘动机,2015,闫宇彤,张纯筝,杨烁 / 张檬 / 商侃 / 王伟源 / 蔡子伦 / 邹涵虹 / 王泽宗 / 周浩东 / 禹童 / 曾虹畅 / 严艺丹,剧情 / 悬疑,中国大陆,13,30,7.0,96
皮五传奇,2012,梦继,邹静之,黄志忠 / 柯蓝 / 洪剑涛 / 练束梅 / 周海媚 / 李光复 / 杨皓宇 / 潘彦妃 / 刘双宁 / 李欣聪,剧情 / 喜剧,中国大陆,45,,7.0,133
梦幻天空,2007,何东兴 / 丁仰国,袁琼琼,许玮伦 / 印小天 / 柯淑勤 / 李小冉 / 立威廉,剧情,中国大陆,34,,7.0,74
十全十美之三喜临门,2009,王宁,王宁,蔡少芬 / 英壮 / 苑琼丹,,中国大陆,3,,7.0,74
青春大爆炸,2012,王之,自由极光,雷庆瑶 / 葛天 / 王闯 / 张举举 / 杨楠 / 高海城,剧情 / 喜剧 / 家庭,中国大陆,20,27,7.0,122
战狼,2011,连奕名 / 吴斌,王培公,连奕名 / 王千源 / 何政军 / 张光北 / 刘琳 / 刘敏涛,,中国大陆,,,7.0,118
烈火红岩,2010,赵浚凯,陈凯,蓉卓 / 邢佳栋 / 王茜 / 李雨泽 / 何政军,剧情 / 战争,中国大陆,29,,7.0,131
雪城,1988,李文歧,,倪萍 / 金鑫 / 黄梅莹,,中国大陆,16,,7.0,102
超越情感,2001,王瑞,张永琛,潘虹 / 盖丽丽 / 李羚,剧情,中国大陆,22,,7.0,54
暗战,2003,刘新,,李宗翰 / 童蕾 / 王庆祥 / 奚美娟 / 金鑫 / 陈思成,剧情 / 犯罪,中国大陆,21,,7.0,100
空房子,2004,陈国星,万方 / 程式鉴,宋丹丹 / 王琳 / 王洛勇 / 李明启 / 李小萌 / 房子斌 / 罗珊珊 / 文兴宇 / 李梦男,剧情 / 家庭,中国大陆,19,,7.0,100
江湖兄弟,2008,张强 / 蒋译霆,宋志鹏,黄海波 / 杜志国 / 叶静 / 唐于鸿 / 何赛飞,剧情,中国大陆,32,,7.0,107
毕有财,2013,杜軍,朱睿,林永健 / 宁静 / 刘蓓 / 吕一 / 杨蕊 / 谭凯,剧情 / 爱情,中国大陆,30,44,7.0,123
昏迷不醒,2010,族权,,吴秀波 / 陆玲 / 赵毅,,中国大陆,25,,7.0,127
原来就是你,2004,朱翊,陈文,邱心志 / 刘涛 / 叶童 / 陈司翰 / 张铁林 / 王艺璇,喜剧 / 爱情,中国大陆,35,40,7.0,1345
