剧名,年份,导演,编剧,主演,类型,制片国家/地区,集数,单集片长/分钟,豆瓣评分,评价人数/人
不思异辞典,2017,欧丁丁,杨笑一 / 贺亚雄 / 谷霞,孙嘉俊 / 董海铭 / 王静 / 贺亚雄,悬疑 / 恐怖,中国大陆,27,3,7.9,266
黎明前的暗战,2011,嘉娜·沙哈提,陈育新 / 郝莹,杜雨露 / 孙兴 / 黄轩 / 周扬 / 郭达 / 程皓枫 / 倪大红 / 郭广平 / 沈航 / 郭东文 / 张明健 / 徐永革,剧情 / 历史,中国大陆,26,,7.7,385
爱上男主播,2010,张荣华,吴小可,王亦凡 / 高叶 / 郭子千 / 碧儿 / 刘硕 / 文静 / 赵梓博,剧情 / 爱情,中国大陆,30,15,7.7,286
宋庆龄和她的姊妹们,1991,潘霞,赵瑞泰,李羚 / 王馥荔 / 张晓敏 / 郭旭新 / 许道临 / 汪正煜 / 章杰 / 周贤珍 / 王宗海 / 王俊 / 秦芜 / 温海波 / 何湘钮 / 王国京 / 金广林 / 王铁成 / 蔡金萍 / 白洁珊,,中国大陆,12,,7.7,206
不在犯罪现场,2005,朱翊,茅捷,徐帆 / 马跃 / 傅艺伟 / 李崇霄 / 李勃阳 / 姚安濂 / 向梅 / 林杰妮 / 梦洁 / 方小月 / 王璐 / 刘晶琦 / 赛根根 / 华明伟 / 董波 / 刘雪菲 / 朱翊 / 迈克尔 / 孙露菲 / 王丽媛 / 高欣 / 宋怀强 / 王政钧 / 杨超 / 陈涛 / 周锦辉 / 谢劲松,悬疑 / 惊悚 / 恐怖 / 犯罪,中国大陆,20,40,7.7,218
父爱如山,2010,黄力加,崔洁,牛莉 / 陶红 / 李雪健 / 刘莉莉 / 赵会南,,中国大陆,30,,7.7,163
江塘集中营,2006,金韬,兰之光,刘鉴 / 候传杲 / 华子 / 李幼斌 / 杨志刚 / 李大强 / 崔波,历史 / 战争,中国大陆,26,45,7.7,180
梦想与现实,2014,小夕,小夕 / 马远 / 熊琛 / 史柄庚,小夕 / 熊琛 / 刘宇珽,剧情 / 短片,中国大陆,8,7,7.7,193
白玉霜,1994,白唐,郭启宏,李兰 / 韩青,爱情,中国大陆,20,40min,7.7,132
书香门第,2003,滕文骥,孟繁树,高明 / 何冰 / 孙艺菲 / 吴越 / 庞敏,剧情,中国大陆,38,40,7.7,148
