剧名,年份,导演,编剧,主演,类型,制片国家/地区,集数,单集片长/分钟,豆瓣评分,评价人数/人
羊城暗哨,2006,赵浚凯,汪奕升 / 傅琦然 / 李蔚玮 / 张建,王学兵 / 张歆艺 / 王茜,剧情 / 悬疑,中国大陆,23,,7.6,232
无花的夹竹桃,1997,刘书亮 / 李松桥,程蔷 / 董浩宇,赵明明 / 胡兵,剧情 / 爱情,中国大陆,25,45,7.6,100
一江春水,2002,于荣光,周葵,萧蔷 / 莫少聪 / 于荣光 / 王冰 / 迟帅 / 罗珊珊 / 李玥 / 铃木 / 魏季豪 / 唐国强 / 普超英,剧情 / 爱情,中国大陆,24,,7.6,100
北京女人,1998,李三林 / 尹大为,张华峰,赵丽娟 / 刘涛 / 尹大为,剧情 / 家庭,中国大陆,20,45,7.6,102
郭兰英,1999,丁荫楠 / 李希茂,,盖丽丽 / 高宝宝 / 古月 / 王铁成 / 王鸿乐,,中国大陆,12,,7.6,73
3·8大案,3·8大案,黄净伟,李宏林,李宏伟 / 刘毅 / 郑青山 / 尹成魁 / 刘任俊,,中国大陆,9,,7.6,90
妙手神捕俏佳人,2003,元　彬,,吴孟达 / 王志刚 / 袁洁莹 / 方青卓 / 陈丽峰,,中国大陆,35,,7.6,83
校园恰恰恰,2009,曾剑锋,王可,常锦洋 / 刘雷 / 尤磊 / 周毅 / 钟声 / 刘航 / 彭昵昵 / 陈英俊,,中国大陆,32,,7.6,83
云雀行动,2001,祝君,王金明,郭涛 / 苏瑾 / 钱勇夫 / 丁军 / 宋戈 / 石维坚,剧情,中国大陆,20,40,7.6,72
勋章,2009,陈家林,林和平,林熙越 / 潘雨辰 / 沈晓海 / 宋佳伦 / 林家川,剧情 / 战争,中国大陆,33,,7.6,81
名门劫,2008,傅东育,金一鸣,周一围 / 孔琳 / 沈佳妮 / 高明 / 郑恺 / 牛飘 / 王媛可 / 马睿,剧情 / 家庭,中国大陆,28,,7.6,76
阳光普照大地,2009,庞好,朱质冰 / 朱质颖,冯远征 / 周杰 / 何琳,剧情,中国大陆,36,,7.6,65
疯狂摄影师,2016,,,,,中国大陆,6,25,7.6,74
老爸的心愿,2012,曾晓欣,,高明 / 郑晓宁 / 杜雨露 / 李梦男 / 高亮 / 岳红 / 丁宁 / 丁柳元 / 李崇霄,家庭,中国大陆,35,,7.6,63
风云密支那,1999,招振强,张晓亚,陆剑民 / 黎彩妮 / 林熙越,剧情,中国大陆 / 香港,23,40,7.6,59
宝贝儿回家,2013,韩刚,陈智 / 杜书韦 / 钟晶晶,陶红 / 董勇 / 盖克 / 李明启 / 夏凡 / 梁丹妮 / 姚安濂 / 何晶 / 胡先煦,剧情 / 家庭,中国大陆,38,,7.6,63
护国大将军,2011,王文杰,周振天,王志飞 / 梁冠华 / 姚笛,剧情 / 历史,中国大陆,30,40,7.6,58
大清官,2004,王文杰,,高明 / 傅彪 / 周野芒 / 刘奕君 / 萨日娜,历史 / 古装,中国大陆,32,,7.6,54
咖啡间疯云,2010,王翔,,刘畅 / 岳超 / 邵诣 / 刘晓靓 / 汪旭 / 林森森 / 曹晓雯,,中国大陆,45,,7.6,65
英雄无泪,1995,张多福,,修庆 / 李艳秋 / 赵虹,剧情,中国大陆,30,,7.6,46
万家轶事,1999,金地,金地,李保田 / 郑铮 / 黄宗洛 / 沙玉华,喜剧 / 家庭,中国大陆,42,25,7.6,37
极致跋涉：神山之旅,2014,Ryan Pyle,Ryan Pyle,Ryan Pyle,,中国大陆,4,46,7.6,34
叶赫那拉公主,1996,崔俊波,李政 / 孔德选,于慧 / 杨童舒 / 朱娜,,中国大陆,28,,7.6,43
酒结良缘,2000,李小桦 / 郭棣辉,,蔡明 / 李家耀 / 保剑锋,,中国大陆,24,,7.6,151
深瞳,2007,侯明杰,徐纪周,张正阳 / 白雪云 / 石兆琪,悬疑 / 惊悚 / 恐怖 / 犯罪,中国大陆,24,40,7.6,775
妻室儿女,2009,林汝为,林汝为 / 孟昭文,陈小艺 / 张嘉译 / 娜仁花 / 王继世 / 高冰 / 李蓬 / 雷镇语 / 刘波 / 马静 / 杨圣文 / 何苗 / 黄维娜 / 湛雅书 / 吕洋 / 谭小燕,剧情,中国大陆,40,,7.6,130
伤不起的青春,2012,赵启强,赵启强,靳东 / 宋雨霏 / 高斯 / 纪宁 / 王诗槐,剧情 / 爱情,中国大陆,20,45,7.6,54
谍战之特殊较量,2004,何培,马中毅 / 张璐,黄海波 / 田海蓉 / 唐国强 / 潘虹 / 姚芊羽 / 王阳 / 邓超 / 李东翰 / 赵岭 / 郝柏杰 / 赵柯 / 李建义 / 张子晨 / 陈姿伊 / 何彦霓 / 侯永生,剧情,中国大陆,24,,7.6,115
国家审计,2014,蒲剑 / 赵宁宇,蒲剑,史兰芽 / 夏德俊 / 武文佳 / 何政军 / 曹翠芬 / 廖京生 / 刘亚津 / 娄乃鸣,剧情,中国大陆,26,,7.6,895
北魏冯太后,2006,卫翰韬 / 张国庆,焦祖尧 / 张强 / 邓兴亮,吴倩莲 / 张铁林 / 李光洁 / 沈傲君 / 陈小艺,历史 / 战争 / 古装,中国大陆,42,45,7.6,144
关西无极刀,2003,陆涛,杨争光,赵鸿飞 / 沈傲君 / 孙海英 / 丁海峰 / 吴婷 / 杜志国 / 杜雨露 / 一真 / 臧金生 / 王大治 / 刘涛 / 李菁菁 / 程思寒,剧情 / 动作 / 武侠 / 古装,中国大陆,20,45,7.6,174
大捕房,2010,郑基成,陈翘英 / 刘天赐 / 徐磊,应采儿 / 耿乐 / 吴孟达 / 许绍雄 / 午马 / 方青卓 / 杨蕊,剧情 / 喜剧 / 动作,中国大陆,33,,7.6,156
女神捕,2010,司小冬,黄鉴,商蓉 / 赵阳 / 王思蒙 / 苗皓钧 / 梁国荣 / 王国强 / 赵鸿飞 / 麻维江 / 毛晓彤,悬疑 / 古装,中国大陆,40,,7.6,142
一乡之长,1998,张惠中,,赵本山 / 方青卓 / 范伟 / 高秀敏,剧情 / 喜剧,中国大陆,18,,7.6,118
电脑娃娃,2008,林丛 / 杨影,臧里 / 臧希,阿雅 / 高亮 / 胡奥 / 巴戈 / 黄爱玲 / 陈创 / 苑冉 / 胡轩豪 / 高亚麟 / 张子枫,喜剧,中国大陆,60,25,7.6,108
鉴真东渡,2007,林大庆,韩素真 / 韩素平,迟重瑞 / 石凉 / 付瑶 / 金巧巧 / 梶刚润 / 艾俊迈 / 史林 / 韩冬 / 肖宏 / 金鹏 / 王仲伟 / 冬青 / 随抒阳 / 黄雷 / 杨和平 / 李键昌 / 杨键 / 李元 / 褚柳生 / 陈可达 / 郑随绪 / 徐铁人 / 姜明 / 刘耀辉 / 国玉峰 / 黄佚 / 杨阳 / 梁晓彬 / 黄继鹏 / 李强,,中国大陆,16,,7.6,107
红墨坊,2006,张绍林,路远,许晴 / 陈建斌 / 张国立 / 马苏 / 李大强 / 寇振海 / 岳跃 / 卢映 / 法提麦·雅琦 / 魏宗万 / 叶钧 / 李雯雯 / 王烨 / 王光辉 / 彭志东 / 王汉文 / 赵俊杰 / 侯祥玲 / 钱建平 / 谢林 / 刘威 / 许敬义 / 石黎明 / 徐晓刚 / 王彪 / 孟谦 / 阳光 / 薛晓龙 / 谭幸 / 刘小惠 / 柳小海 / 蔡泽明 / 方伟 / 许敏 / 龚志玺 / 宋光明 / 任学海 / 洪刚 / 安瑞云 / 黄晓龙 / 裘海峰 / 王波 / 李宝龙 / 常乐 / 任舞 / 刘波 / 童晓梅 / 刘广厚 / 杨晓强 / 罗蓬 / 韩家勇 / 赵建纲 / 唐建中 / 田西平 / 王庆伦 / 赵恩全 / 木木 / 赵乐 / 李宗强 / 艺龙 / 郭明翰 / 周黎 / 张金泉 / 严庆良 / 迟为晔 / 张洪敬,,中国大陆,32,,7.6,76
酒巷深深,2006,郭宝昌,王琛,邵兵 / 马伊俐 / 朱媛媛,剧情,中国大陆,20,40,7.6,52
亲兄热弟,2007,黄力加,彭三源,张国立 / 陈建斌 / 邓婕 / 陶虹 / 刘燕军 / 谭洋 / 柳渊 / 林永健,剧情 / 家庭,中国大陆,30,,7.6,1396
红处方,1997,董志强,张用琛 / 毕淑敏,周迅 / 奚美娟 / 黄梅莹 / 艾丽娅 / 姚橹 / 柳彬 / 王菁华 / 朱琛 / 沈畅 / 夏永华,剧情 / 家庭,中国大陆,20,,7.6,606
冼星海,2005,段果平 / 程生生,王朝柱,马晓伟 / 唐国强 / 刘劲 / 玛丽咏 / 刘琳 / 弗朗索瓦 / 牟云 / 宋晓英 / 夏天 / 黄薇,,中国大陆,20,,7.6,66
大院子女,2007,斗琪,汪遵熹 / 汪启楠,印小天 / 段奕宏 / 吴越 / 廖凡 / 刘小锋 / 伊春德 / 车晓 / 张晶晶 / 涂松岩 / 冯恩鹤 / 马迎春,剧情 / 爱情 / 历史,中国大陆,25,47,7.6,609
傻阿甘,1995,邓育庆,邓育焜,邱心志 / 刘雪华 / 张晨光 / 归亚蕾 / 刘德凯 / 薛佳凝,剧情 / 爱情,中国大陆 / 台湾,26,40,7.6,269
雪白血红,2003,竹卿 / 王强,竹卿,谢兰 / 唐国强 / 陈瑾 / 陶泽如,,中国大陆,24,,7.6,129
身份的证明,2008,毛卫宁,钱滨 / 易丹,张涵予 / 罗海琼 / 田雨 / 车晓 / 李乃文,剧情,中国大陆,32,,7.6,262
橄榄树,2011,刘保成 / 乌兰那日松,乌兰那日松 / 秦晔,刘涛 / 陈思诚 / 孙涛 / 洛葳 / 张镝 / 包贝尔 / 张琳 / 李格格,剧情,中国大陆,34,45,7.6,231
飞天,2010,张斌 / 陆宏斌,,作曲：李柏,,中国大陆,1,,7.6,202
桃花灿烂,2007,方刚亮,方方 / 冯华,王学兵 / 梁静 / 殷桃 / 王同辉,剧情 / 爱情 / 家庭 / 历史,中国大陆,21,45,7.6,183
穷爸爸富爸爸,2008,宏胤 / 蓝志伟,田地 / 李洋,陈宝国 / 李立群 / 尹馨 / 赵奎娥 / 苏炳宪 / 唐笑笑,剧情 / 喜剧 / 爱情 / 家庭,中国大陆,30,,7.6,340
我的非常闺蜜,我的非常闺蜜,康洪雷,阿冈,吴越 / 柯蓝 / 吴晓丹,,中国大陆,24,,7.6,145
大清药王,2002,韩刚,杨晓雄,张铁林 / 李保田 / 马晓晴 / 李迎秋 / 奚美娟 / 赵君 / 雷恪生 / 冯恩鹤 / 法提麦·雅琦 / 潘晓莉,剧情 / 古装,中国大陆,22,,7.6,119
都市放牛,1995,陶玲玲,谭力,王晓东 / 李艳秋 / 孟蕾,剧情,中国大陆,40,40,7.6,119
马兰谣,2016,晨,刘婧 / 艾米,田征 / 赵倩 / 徐杰 / 朱妍 / 白凡 / 师小红 / 一真 / 魏晴,剧情,中国大陆,26,,7.5,120
前门楼子九丈九,2004,孔笙,,刘敏涛 / 李诚儒 / 于震,剧情,中国大陆,36,,7.5,142
杨光的夏天,2012,许瑞生 / 杨议,韩兆 / 李延亮 / 王钦 / 李振宇,杨议 / 韩兆 / 杨少华 / 马丽,剧情 / 喜剧 / 爱情 / 家庭,中国大陆,35,,7.5,134
香气迷人,2004,沈好放,万方,俞飞鸿 / 赵文瑄 / 左小青 / 张子健,剧情 / 爱情,中国大陆,26,,7.5,122
东方商人,1995,王新民,,王绘春 / 高曙光 / 陶红,剧情,中国大陆,23,,7.5,53
明宫谜案,2007,孔笙,刘建业 / 孙卓,张晨光 / 萧蔷 / 高鑫 / 刘燕燕 / 桑叶红,历史,中国大陆 / 台湾,38,,7.5,114
