剧名,年份,导演,编剧,主演,类型,制片国家/地区,集数,单集片长/分钟,豆瓣评分,评价人数/人
表演系的故事,1998,张会军,,何琳 / 黄海波 / 崔奕 / 温峥嵘 / 张嘉译 / 潘雨辰,,中国大陆,20,,7.3,52
派克式左轮,2005,范小天,黄蓓佳,印小天 / 邬玉君 / 奇道 / 赵子琪,剧情,中国大陆,36,,7.3,92
香瓜七兄弟2,2014,,,刘萌萌 / 马丽 / 张子栋 / 艾如 / 刘冠麟 / 大兵 / 王宁,喜剧,中国大陆,44,30,7.3,76
康德第一保镖传奇,1986,冀茂东 / 纪小黑 / 李建 / 郭枫 / 翟志杰 / 李杰,刘韩涛 / 纪小黑 / 齐铁雄,张继波 / 阎莉莉 / 刘卫华 / 康静 / 左阳 / 张玫 / 石秀梅 / 林瑶 / 梁忠芝 / 郭枫 / 李永君 / 侯天来 / 陈英 / 赵亚荣 / 翟志杰 / 胡玉杰 / 杨国民 / 景震起 / 李红 / 赵春生 / 郝天刚,,中国大陆,36,,7.3,99
无间有爱,2008,林合隆 / 刘一志,徐誉庭 / 杜政哲,贺军翔 / 邓家佳 / 赵子琪 / 靳东,剧情,中国大陆,32,,7.3,351
爱在战火纷飞时,2007,董亚春,柳建伟,温兆伦 / 付瑶 / 王洛勇 / 师小红 / 宋春丽 / 卢奇 / 祝新运,剧情 / 战争,中国大陆,28,,7.2,55
南国大案,1998,徐燕燕,孟冰 / 兰晓龙,陈法蓉 / 王新 / 李修贤,剧情 / 犯罪,中国大陆,20,45,7.2,80
浪淘沙,2006,郑大圣,张欣,陈道明 / 夏雨 / 杨雪 / 李解 / 孔维 / 黄志忠,,中国大陆,22,,7.2,78
洋行里的中国小姐,1993,,杜卫东 / 杜栋齐 / 孟繁树,傅艺伟 / 傅丽莉 / 杨昆 / 孙淳 / 何政军 / 何麟,,中国大陆,12,,7.2,57
李师师,1991,侯之,成翔 / 楠槟 / 嘉锡,何晴 / 赵宏基,剧情 / 历史 / 战争,中国大陆,16,43,7.2,73
厨娘物语,2013,闵捷JaySin,闵捷JaySin / 曹小璐Cherie,曹小璐Cherie,,中国大陆,7,5,7.2,73
决不饶恕,2004,唐敬睿,姜炜,陈建斌 / 刘蓓 / 郭涛,剧情,中国大陆,22,,7.2,69
龙珠风暴,2000,陈鲁,张晓亚 / 田荣伟,宋春丽 / 陈宝国 / 黄晓明 / 陈姿颖 / 苗乙乙,犯罪 / 古装,中国大陆,25,40,7.2,61
欢喜亲家,2009,程路,,田成仁 / 李成儒 / 罗海琼 / 戴春荣 / 梁丽 / 赵倩 / 王彩萍 / 周晶晶 / 高放 / 田征,,中国大陆,33,,7.2,64
追踪,2004,李自人,江奇涛 / 胡玥（小说作者）,姜武 / 杨立新 / 杜源 / 周浩东 / 连奕名 / 朱媛媛 / 郭虹 / 张晋 / 马路 / 李燕生,悬疑,中国大陆,18,47,7.2,64
罪之缘,2012,张多福,薛立业,吴军 / 曾黎 / 樊志起 / 刘敏涛 / 蒋恺 / 廖学秋 / 宋晓英,剧情,中国大陆,30,,7.2,52
独有英雄,2013,杨文军,高锋,周一围 / 包贝尔 / 薛佳凝 / 李小冉 / 林源 / 刘佳 / 班杰明 / 刘金山 / 倪大红 / 张晞临 / 周德华 / 张志坚,剧情 / 古装,中国大陆,34,,7.2,73
爱情密码,2001,王永,,王姬 / 冯绍峰 / 王新军,剧情 / 爱情,中国大陆,20,,7.2,81
Dream,2016,TeeEgg,,吴磊 / 黄莺 / 陶典 / 赵路 / 王明扬,悬疑 / 奇幻 / 冒险,中国大陆,26,10,7.2,53
暗红1936,2011,李骏,郝岩,王学兵 / 刘佩琦 / 余皑磊 / 车永莉 / 张延 / 彭杨,剧情 / 战争,中国大陆,35,,7.2,54
明德绣庄,2007,包福明,方洪友,徐露 / 朱铁 / 何赛飞,剧情,中国大陆,25,,7.2,51
断箭,2010,陈皓威,李昂,王挺 / 陈德容 / 张定涵 / 王伟光 / 冯恩鹤 / 何赛飞 / 刘泊潇 / 洪紫琳,悬疑,中国大陆,43,42,7.2,45
祸福相依,2008,李骏 / 杨竞泽,,董勇 / 牛莉 / 李梦男 / 韩雯雯 / 齐欢,剧情,中国大陆,34,,7.2,38
型色男女,2013,姚曦平,,曹飞飞 / 雷牧 / 王迅 / 詹小楠 / 肖旭 / 刘汉兆 / 黄唐一佳,喜剧 / 爱情,中国大陆,30,20,7.2,39
鸡毛蒜皮没小事2,2011,王宏桥,王东潮,姜超 / 汪芫 / 蔡明 / 于谦,喜剧,中国大陆,35,,7.2,53
追着幸福跑,2007,,,郭德纲 / 彭玉 / 雷恪生,剧情 / 喜剧,中国大陆,60,,7.2,180
红色警戒,1999,而立,半帆,吴若甫 / 常戎 / 姚婧 / 安泽豪 / 李小璐,剧情 / 悬疑 / 犯罪,中国大陆,20,48,7.2,126
危情时刻,1997,滕华涛,张策 / 许建海 / 彭湛晖 / 齐星,张国立 / 胡军 / 刘孜 / 滕汝骏 / 赵奎娥 / 苗苗 / 侯方 / 陈宝国 / 马羚 / 冯小刚,剧情 / 悬疑 / 犯罪,中国大陆,20,45,7.2,92
